Data_Requirement,FSDM_Subject_Area,Capabilities_Using,Capability_Count
Market / Trading Book Positions,Agreement,"Big Data Analytics; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Third Party Settlement Controls; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",62
Mark to market valuations,Agreement,"Big Data Analytics; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",62
Cashflow Projections,Agreement,"Insight Led Customer Strategy; Big Data Analytics; Capital Management (Planning and Allocation); Credit Risk Based Pricing Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Regulatory Reporting and Information Sharing; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Tax Management & Optimisation; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Liquidity Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",32
Account Maturity Dates & Repricing Schedules,Agreement,"Predictive Models; Event Detection; Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Personalisation; Next Best Action Arbitration; Direct Customer Access to Information Products; Strategy Monitoring; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",74
Account Repayment Schedules,Agreement,"Customer Value; Insight Led Customer Strategy; Big Data Analytics; Personalisation; Next Best Action Arbitration; Direct Customer Access to Information Products; Strategy Monitoring; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",67
Amortisation Schedules,Agreement,"Big Data Analytics; Omni Channel Campaign Management; Credit Risk Based Pricing Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Regulatory Reporting and Information Sharing; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Tax Management & Optimisation; Fixed Assets Management; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",36
Customer Illustrations,Agreement,"Event Detection; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Big Data Analytics; Regulatory & Audit Compliance; Next Best Action Arbitration; Contextual Decisioning; Lead & Contact Management; Single Interaction View of Customer; Application and New Business Written; Credit Risk Based Pricing Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Regulatory Reporting and Information Sharing; Activity Based Costing; Profitability Modelling; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",39
Customer Quotes,Agreement,"Event Detection; Customer, Product & Channel  insight; Conduct  Risk Monitoring; Big Data Analytics; Regulatory & Audit Compliance; Next Best Action Arbitration; Contextual Decisioning; Lead & Contact Management; Single Interaction View of Customer; Application and New Business Written; Credit Risk Based Pricing Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Regulatory Reporting and Information Sharing; Activity Based Costing; Profitability Modelling; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",39
Collateral Agreements,Agreement,"Big Data Analytics; Application and New Business Written; Single Customer View from a Risk Perspective; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",57
Risk Exposures,Agreement,"Customer, Product & Channel  insight; Big Data Analytics; Next Best Action Arbitration; Channel Support & Engagement; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Operational Risk Capital and OPVaR; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",67
Risk Weighted Assets & Capital Results,Agreement,"Big Data Analytics; Capital Consumption; Risk Appetite; Credit Risk Based Pricing Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Regulatory Reporting and Information Sharing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Statutory Financial Reporting; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",24
Profitability Results,Agreement,"Predictive Models; Event Detection; Customer, Product & Channel  insight; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Scope of Contact; Campaign Business Cases; Omni Channel Campaign Management; Personalisation; Rapid Prototyping supports Test & Learn; Channel Coverage; Next Best Action Arbitration; Channel Support & Engagement; NPS MI & Drill Down; Strategy Monitoring; Attrition Root Cause Analysis MI; Risk Appetite; Credit Risk Based Pricing Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; GL, AP, HR, Expense Analytics & Optimisation; Business Process Analytics & Optimisation; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",38
Account Limits,Cross Subject  -  Limits,"Event Detection; Customer, Product & Channel  insight; Big Data Analytics; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",66
Predictive Models - propensity to buy,Party or Agreement,"Event Detection; Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Scope of Contact; Campaign Business Cases; Omni Channel Campaign Management; Creation & Management of Offers and Content; Personalisation; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Strategy Monitoring; Application and New Business Written; Credit Risk Based Pricing Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",39
Predictive Models - attrition,Party or Agreement,"Event Detection; Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Scope of Contact; Campaign Business Cases; Omni Channel Campaign Management; Creation & Management of Offers and Content; Personalisation; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Strategy Monitoring; Attrition Root Cause Analysis MI; Credit Risk Based Pricing Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",38
Predictive Models - price elasticity,Party or Agreement,"Event Detection; Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Scope of Contact; Campaign Business Cases; Omni Channel Campaign Management; Creation & Management of Offers and Content; Personalisation; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Strategy Monitoring; Application and New Business Written; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",37
Attribution Models - response,Party or Agreement,"Big Data Analytics; Customer Contact Policy; Campaign Business Cases; Omni Channel Campaign Management; Creation & Management of Offers and Content; Multi-Step Dialogue; Lead & Contact Management; Channel Support & Engagement; Auto processing of  Channel Feedback; Lead/Sales Funnel Analytics  & Reporting; Marketing Asset Evaluation; Earned, Paid & Owned media analysis; Application and New Business Written; Credit Risk Based Pricing Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",38
Lead Foodchain data,Party or Agreement,"Big Data Analytics; Customer Contact Policy; Campaign Business Cases; Omni Channel Campaign Management; Creation & Management of Offers and Content; Multi-Step Dialogue; Channel Coverage; Next Best Action Arbitration; Recycle Unused Leads into alternative channels; Lead & Contact Management; Channel Support & Engagement; Campaign ROI Reporting by Channel; Marketing Asset Evaluation; Earned, Paid & Owned media analysis; Application and New Business Written; Credit Risk Based Pricing Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",29
Predictive Models - risk,Party or Agreement,"Customer Value; Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Scope of Contact; Campaign Business Cases; Creation & Management of Offers and Content; Personalisation; Real Time Omni-Channel  Integration; Next Best Action Arbitration; Strategy Monitoring; Application and New Business Written; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Operational Risk Capital and OPVaR; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Capital Planning and Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",47
"Risk Segments, Cohorts & Groupings",Party or Agreement,"Conduct  Risk Monitoring; Big Data Analytics; Strategy Monitoring; Attrition Root Cause Analysis MI; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Future / Lifetime Value; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",65
